date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210305,NY,1666733,,,,totalTestEncountersViral,39194200,5034.0,89995.0,1030.0,,700.0,,,3/4/2021 14:00,2021-03-04T14:00:00Z,03/04 09:00,38891.0,89995.0,148923.0,2021-03-04T14:00:00Z,,,,,,,39194200,,,,,,,,,,,,36,8956,0,1666733,296935,1666733,,95,0,3b2002d4b127ba2cd97aa9696daec74f3c1c5315,0,0,0,0,0,
20210304,NY,1657777,,,,totalTestEncountersViral,38897265,5177.0,89995.0,1043.0,,712.0,,,3/3/2021 14:00,2021-03-03T14:00:00Z,03/03 09:00,38796.0,89995.0,148355.0,2021-03-03T14:00:00Z,,,,,,,38897265,,,,,,,,,,,,36,7593,0,1657777,270089,1657777,,61,0,fd521527694c269fc2d5acae5f6aedff4c317f28,0,0,0,0,0,
20210303,NY,1650184,,,,totalTestEncountersViral,38627176,5323.0,89995.0,1047.0,,735.0,,,3/2/2021 14:00,2021-03-02T14:00:00Z,03/02 09:00,38735.0,89995.0,147730.0,2021-03-02T14:00:00Z,,,,,,,38627176,,,,,,,,,,,,36,7704,0,1650184,218069,1650184,,75,0,9e1d88ac35d74dc7969fd77d287ae42d5721f5f8,0,0,0,0,0,
20210302,NY,1642480,,,,totalTestEncountersViral,38409107,5369.0,89995.0,1076.0,,747.0,,,3/1/2021 14:00,2021-03-01T14:00:00Z,03/01 09:00,38660.0,89995.0,147149.0,2021-03-01T14:00:00Z,,,,,,,38409107,,,,,,,,,,,,36,5800,0,1642480,128034,1642480,,83,0,5267dbc1d00d949273c1b47cbb05e07feb477428,0,0,0,0,0,
20210301,NY,1636680,,,,totalTestEncountersViral,38281073,5307.0,89995.0,1065.0,,741.0,,,2/28/2021 14:00,2021-02-28T14:00:00Z,02/28 09:00,38577.0,89995.0,146811.0,2021-02-28T14:00:00Z,,,,,,,38281073,,,,,,,,,,,,36,6235,0,1636680,174158,1636680,,80,0,c566aa0ccb115292e7ca7a1ed74fb02e3117cbbc,0,0,0,0,0,
20210228,NY,1630445,,,,totalTestEncountersViral,38106915,5259.0,89995.0,1083.0,,728.0,,,2/27/2021 14:00,2021-02-27T14:00:00Z,02/27 09:00,38497.0,89995.0,146374.0,2021-02-27T14:00:00Z,,,,,,,38106915,,,,,,,,,,,,36,7580,0,1630445,273720,1630445,,90,0,e0bb9617637a5e363610408d584559962a022f79,0,0,0,0,0,
20210227,NY,1622865,,,,totalTestEncountersViral,37833195,5445.0,89995.0,1121.0,,753.0,,,2/26/2021 14:00,2021-02-26T14:00:00Z,02/26 09:00,38407.0,89995.0,145672.0,2021-02-26T14:00:00Z,,,,,,,37833195,,,,,,,,,,,,36,8141,0,1622865,285307,1622865,,86,0,14df6fa7cf3807751805766c1e1736d40c7f74d6,0,0,0,0,0,
20210226,NY,1614724,,,,totalTestEncountersViral,37547888,5626.0,89995.0,1132.0,,771.0,,,2/25/2021 14:00,2021-02-25T14:00:00Z,02/25 09:00,38321.0,89995.0,144991.0,2021-02-25T14:00:00Z,,,,,,,37547888,,,,,,,,,,,,36,8204,0,1614724,291189,1614724,,94,0,68d2dc9d7b7caa03e9e7a45822cb70edcc90c622,0,0,0,0,0,
20210225,NY,1606520,,,,totalTestEncountersViral,37256699,5703.0,89995.0,1124.0,,774.0,,,2/24/2021 14:00,2021-02-24T14:00:00Z,02/24 09:00,38227.0,89995.0,144322.0,2021-02-24T14:00:00Z,,,,,,,37256699,,,,,,,,,,,,36,8746,0,1606520,278942,1606520,,92,0,5648885478ff4c849e903836a1c72c1a96723bc4,0,0,0,0,0,
20210224,NY,1597774,,,,totalTestEncountersViral,36977757,5876.0,89995.0,1154.0,,800.0,,,2/23/2021 14:00,2021-02-23T14:00:00Z,02/23 09:00,38135.0,89995.0,143659.0,2021-02-23T14:00:00Z,,,,,,,36977757,,,,,,,,,,,,36,6189,0,1597774,216813,1597774,,104,0,d2411759c2fc861fb1e5023e3b274f0f75cfaa93,0,0,0,0,0,
